name,desc,image url,price,rating,store name
Oppo Reno 6 Ram 8GB+128GB Garansi Resmi Oppo 1 Tahun,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/30/7fcddf35-fa1f-4416-9b70-6a4548cf9610.jpg.webp?ect=4g,Rp4.429.000,5,
Poco X3 Pro 6/128GB + 8/268GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/24/eba5b62f-0d2b-4efd-a9ba-c629d2b0e1fa.jpg.webp?ect=4g,Rp3.435.000,5,
Samsung Galaxy A52 8/128Gb | 8/256Gb - Grs resmi Sein,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/18/f9043f8a-f810-41cb-8a09-7d59da748e17.jpg.webp?ect=4g,Rp4.739.000,5,
Nokia Feature Phone N-150 New 2020 Dual Sim Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/9/976c06f9-c8b9-409b-9351-032bcf347caa.jpg.webp?ect=4g,Rp425.000,5,
Xiaomi Redmi Note 10s 8/128 GB Garasni Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/96d41d0f-83ac-48ca-9f2b-bd7fc2e4d4d6.jpg.webp?ect=4g,Rp3.054.000,5,
Infinix Note 10 Pro NFC 6/64 GB + 8/128 GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/19/b9dcac2e-3e41-465d-b4a8-f6ed69805772.jpg.webp?ect=4g,Rp2.550.000,5,
Xiaomi Redmi Note 10s 6/64 GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/20/f46bee0d-a296-4f6f-9ce6-169e70504ef8.jpg.webp?ect=4g,Rp2.671.000,5,
SAMSUNG GALAXY M62 - 7000mAh Battery - 8GB 256GB 8/256 - Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/7/627ae2f0-2b3f-4cee-b65a-714e6014b0be.png.webp?ect=4g,Rp4.799.900,5,
Infinix Hot 10 Play 3/32 GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/5f636056-8dfb-40a0-99d5-4bc84afa416d.jpg.webp?ect=4g,Rp1.443.000,5,
Vivo V21 4G 8/128GB + 8/256GB Garansi Resmi Vivo Indonesia,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/26/a54bfe9e-4e57-45a1-8019-f26cf5c1c4bd.jpg.webp?ect=4g,Rp3.550.000,5,
oppo A57 hp ram 3/32GB Kamera 16MP+13MP 4G LTE smartphone,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/6/763e1629-3f71-4e98-a93c-ffb7280e25cb.jpg.webp?ect=4g,Rp720.000,5,
HP NOKIA 105 JADUL DUAL SIM NEW,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/27/7857e6af-3400-4766-aba8-e803269e3e47.png.webp?ect=4g,Rp122.000,5,
"IBOX iPhone 13 Pro Max 128GB 256GB 512GB 1TB Resmi Gold Blue Graphite - 13 PRO SINGLE, 128GB SILVER",no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/1/eb734cad-19e2-46e3-ab13-9142307254ed.jpg.webp?ect=4g,Rp18.675.000,5,
"xiaomi redmi 4a 2/32gb GARANSI 1 THN - gold, 2/32GB",no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/19/bbcd0df8-520e-41fc-ab6b-1bd132c21e7f.jpg.webp?ect=4g,Rp599.000,5,
vivo y15s 3/32,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/14/40163064-e68b-4a1e-abbc-34f211cbb11a.jpg.webp?ect=4g,Rp1.675.000,5,
Infinix Hot 10 Play 4/64 GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/5/354e01e8-7ff6-4d3f-bddd-9a643673bdc4.jpg.webp?ect=4g,Rp1.571.000,5,
itel vision A26 (2/32) garansi resmi by infinix,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/12/4e32b47d-1c08-4bab-9052-517c84ed3099.jpg.webp?ect=4g,Rp870.000,5,
XIAOMI REDMI 9A RAM 3 32 GARANSI RESMI,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/1/e3dd50c6-98b7-47d9-bd57-cb78f8a93446.jpg.webp?ect=4g,Rp1.520.000,5,
Samsung Galaxy A32 6/128 RAM 6GB 128GB Garansi Resmi Samsung Indonesia,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/19/466569ea-4ec4-40c3-9822-07ce661e3ddb.jpg.webp?ect=4g,Rp3.425.000,5,
Samsung Galaxy A32 6/128Gb | 8/128Gb - Grs resmi Sein,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/18/a40d7844-7dff-4a83-9a8e-1b90162532b8.jpg.webp?ect=4g,Rp3.499.000,5,
Infinix Hot 10S 6/128GB – Helio G85 – 6.000 mAh – 48MP Camera,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/18/1ac824e9-0787-4335-8d09-08fabfbe730c.jpg.webp?ect=4g,Rp2.074.000,5,
Infinix Note 10 Pro 8/128 GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/5fda4aa9-28f2-4156-ace0-6b6daadba525.jpg.webp?ect=4g,Rp2.718.000,5,
Xiaomi Mi 11 Lite 6/64GB + 6/128GB + 8/128GB Garansi Resmi,no desc,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/23/7ca4e097-b139-4f32-8c81-349da35780b6.jpg.webp?ect=4g,Rp3.749.000,5,
